AAPL
MSFT
GOOG
GOOGL
AMZN
TSLA
BRK.B
FB
NVDA
V
JNJ
UNH
XOM
JPM
PG
WMT
MA
CVX
HD
BAC
PFE
LLY
KO
ABBV
AVGO
PEP
MRK
TMO
COST
VZ
ADBE
ABT
ACN
DIS
DHR
CMCSA
ORCL
NKE
CSCO
CRM
MCD
INTC
AMD
WFC
TMUS
PM
QCOM
TXN
BMY
UPS
NEE
T
MS
COP
RTX
UNP
SCHW
HON
AMGN
MDT
CVS
AXP
IBM
LOW
ANTM
AMT
LMT
CAT
INTU
SPGI
GS
DE
BLK
C
PYPL
AMAT
NOW
MO
BKNG
PLD
EL
ADP
SBUX
NFLX
CB
SYK
ADI
MDLZ
DUK
GE
BX
MMM
MU
CHTR
CI
BA
EOG
ISRG
ZTS
CCI
SO
MMC
GILD
USB
TJX
TGT
CME
LRCX
PNC
BDX
NOC
CSX
SHW
PGR
VRTX
REGN
D
PXD
CL
TFC
WM
FISV
SLB
ITW
OXY
FIS
GD
EQIX
EW
NSC
HCA
ATVI
FCX
AON
PSA
BSX
ICE
FDX
MAR
HUM
GM
MPC
ETN
APD
MRNA
KLAC
VMW
F
NEM
VLO
MET
MCO
EMR
AEP
MRVL
PANW
SRE
DG
SNPS
DVN
ADM
KDP
SCCO
COF
DOW
PSX
ECL
NXPI
TEAM
FTNT
CNC
EXC
MNST
ROP
ADSK
STZ
LHX
MCK
AIG
UBER
WMB
PAYX
CTVA
KMI
KHC
CDNS
KMB
KKR
WBD
HSY
APH
SYY
RSG
TRV
HPQ
ORLY
IQV
GIS
O
XEL
AZO
CTAS
MCHP
WELL
PRU
EA
HLT
DLR
SNOW
HES
CTSH
CMG
ILMN
JCI
A
AFL
BKR
KR
LYB
BK
WBA
MSI
BAX
SQ
LULU
CRWD
DELL
GPN
HAL
SPG
ALL
MSCI
LNG
SBAC
PH
DLTR
NUE
DD
ED
AJG
YUM
PEG
TDG
IFF
CARR
WEC
ANET
TT
IDXX
MTB
ZM
TSN
ES
OTIS
FAST
GFS
DFS
DDOG
BF.B
BF.A
ABC
PCG
PCAR
RMD
GLW
DXCM
TWTR
PPG
ODFL
AMP
VICI
MTD
OKE
APTV
CMI
ALB
LSXMA
LSXMK
FWONK
FWONA
EQR
ROST
AVB
BIIB
SIVB
TROW
WY
RIVN
AME
CTRA
AWK
CERN
VRSK
CPRT
ON
FANG
ARE
LVS
CBRE
VEEV
FITB
ENPH
DHI
STT
EIX
FRC
KEYS
EBAY
LUV
DTE
DAL
ROK
ZBH
GWW
CSGP
SIRI
HRL
EFX
SGEN
CLR
ETR
AEE
MKC
FE
EXR
TTD
MTCH
WTW
CDW
INVH
HIG
WST
NTRS
LEN.B
LEN
ANSS
BALL
DASH
LH
K
STE
ZS
FTV
VTR
ALGN
VMC
LYV
MRO
PPL
MPWR
TSCO
MOS
MLM
IT
CHD
ULTA
URI
HZNP
SPOT
MAA
CEG
CMS
DRE
GRMN
PARAA
PARA
RJF
RF
CINF
AVTR
CFG
CF
EXPE
SUI
AMCR
CNP
WAT
VFC
EPAM
HBAN
CTLT
LBRDA
LBRDK
VRSN
IR
DOV
HPE
TDY
WDC
MDB
GPC
PKI
YUMC
FLT
HOLX
MKL
COO
ESS
WRB
TWLO
JBHT
KEY
FOX
FOXA
AGR
BBY
EXPD
PAYC
PFG
ZBRA
SYF
PLTR
EQT
J
PWR
SWKS
ACGL
HUBS
NET
TER
HEI
HEI.A
RPRX
IP
SWK
TRMB
DOCU
TRGP
BG
CLX
WAB
BR
GNRC
CE
WLK
ROL
BXP
MOH
BRO
TRU
SSNC
POOL
BIO
INCY
AKAM
UI
DGX
NTAP
ATO
WPC
L
EVRG
APA
STLD
KMX
LPLA
DRI
FMC
PEAK
ENTG
LNT
IRM
XYL
CCL
CAG
HWM
CPT
UDR
ALNY
OMC
TYL
MGM
PKG
UAL
TTWO
IEX
CAH
PODD
NDAQ
HST
AES
RCL
VTRS
NVR
TECH
FDS
LKQ
AVY
ACI
LDOS
KIM
EMN
TXT
CG
NLOK
OKTA
ELS
BMRN
PTC
ALLY
CPB
CHRW
JKHY
TFX
CSL
DAR
DPZ
BEN
MAS
SJM
SBNY
BILL
AMH
AZPN
CCK
U
CTXS
NDSN
NI
TPL
WRK
IPG
RS
HAS
CNA
CRL
ARES
PINS
CLF
ABMD
FHN
CBOE
LUMN
ROKU
QRVO
GDDY
AFG
WTRG
FNF
DT
GLPI
ELAN
AA
SNA
DISH
HSIC
TAP
BLDR
REG
AAP
BAH
BURL
RPM
DINO
ZEN
EQH
DOX
AAL
SCI
Y
VST
CZR
RE
ETSY
OLPX
NRG
FICO
GGG
MORN
PHM
MPW
CMA
REXR
MKTX
BKI
PLUG
EWBC
QGEN
FCNCA
NWS
NWSA
UHS
MTN
UTHR
HUBB
PCTY
WSO
GME
FFIV
OLN
WHR
SNX
JNPR
NFE
CLVT
CUBE
ALLE
ACM
LSI
Z
ZG
RHI
PLAN
UHAL
AOS
BSY
LW
LNC
AIZ
WOLF
NLY
AGCO
GL
BRKR
WMS
BWA
JLL
OGN
JAZZ
RGEN
OC
BBWI
SEE
UGI
FBHS
NLSN
DVA
WSM
ACC
WBS
FRT
NBIX
EXAS
XRAY
ARMK
TTC
NWL
MHK
NVCR
PAG
TPR
WAL
LAD
JBL
PNW
MAT
IVZ
CDAY
CGNX
ZION
LAMR
PNR
HII
PSTG
GLOB
LEA
RRX
CNXC
RGA
CBSH
FND
G
PPC
CFR
OGE
ARW
MANH
MIDD
DXC
AGL
KNX
LECO
CHDN
BERY
SEIC
AVLR
ERIE
NOV
MASI
FSLR
CASY
WEX
CACC
JEF
STOR
RGLD
COLD
ST
NNN
WYNN
CABO
CIEN
LII
HUN
SYNH
RL
CHNG
IAC
WH
AXON
AN
USFD
TW
UNM
TREX
STWD
DECK
FIVE
ORI
BRX
CHE
GNTX
CHH
FIVN
ATR
DNB
NVST
NXST
FR
KRC
GPK
AIRC
CPRI
MKSI
HTA
VOYA
CC
WU
SF
LFUS
ESTC
OHI
GWRE
COHR
GMED
RNR
PB
NFG
CACI
DCI
BLD
PCOR
BYD
X
RH
EHC
VNO
WWD
FAF
ACHC
ADT
XPO
AGNC
CDK
PII
SRPT
BEPC
MTZ
DBX
GXO
ITT
SNV
LYFT
OSK
PNFP
BPOP
SHC
VAC
AYI
INGR
AXTA
DKNG
OLED
SITE
PLNT
COTY
VVV
RYN
EEFT
LITE
PLTK
IBKR
EXEL
NVT
ALK
TOL
LPX
ASH
SON
FCN
BOKF
AZTA
TDOC
MSP
NYT
HRB
RNG
SKX
REYN
DTM
LSTR
RUN
SRC
BC
COUP
PENN
FLO
MDU
TWKS
CW
VMI
OMF
PEN
ESI
IPGP
IDA
UNVR
BFAM
SMG
PRGO
NRZ
HOG
KSS
SLM
TMX
AMG
LEG
THG
MNDT
CLH
EXP
IAA
IART
WTFC
DLB
IONS
CUZ
OZK
SWCH
W
SMAR
CR
COLM
MSA
OPEN
AXS
SLGN
PRI
HXL
POST
PVH
EVR
INFA
SAIC
ALGM
UA
UAA
DRVN
DEI
SEB
AVT
NCR
NYCB
CRUS
JHG
TXG
DKS
HE
CHPT
MAN
H
TKR
NATI
BWXT
SRCL
TPX
PEGA
PYCR
OSH
VNT
PINC
TNL
MRVI
ICUI
UPST
PK
NVAX
MTG
TNDM
AL
HHC
FNB
TFSL
GH
THO
HBI
JWN
KEX
YETI
R
HIW
QS
VRT
FLS
TDC
LAZ
AWI
CNM
NCNO
WEN
MSM
GPS
AMBP
ALSN
UMPQ
QDEL
MCW
SLG
EPR
DV
GTES
PACW
AMED
AGO
NTRA
WIX
WTM
VSCO
GO
BHF
WOOF
NTNX
MRCY
LESL
ENOV
HAYW
SAM
AYX
SPR
SPB
CVAC
RARE
NCLH
NEU
AZEK
JBLU
NEWR
DSEY
KMPR
FHB
JAMF
MSGS
JBGS
WDAY
BOH
CRI
TRIP
FL
CERT
ESAB
FRPT
XRX
OLLI
VSAT
WWE
KD
LOPE
HPP
LZ
STNE
BFH
VIRT
MCY
SIX
CHGG
DCT
SABR
FOUR
HLF
SGFY
HAIN
SNDR
MRTX
SLVM
CPA
SAGE
FTDR
PSFE
ATUS
SWI
DH
NABL
SPCE
SPLK
AI
TSP
SHLS
BYND
COMM
EVBG
EMBC
FSLY
QRTEA
CVNA
FIGS
VMEO
LMND
ADPT
RKT
IOVA
ONL
NKTR
SKLZ
ZIMV
FLNC
PTON
UWMC
LYLT
VRM
GOCO
